Item Code,Item Group,Item Name,Description,Standard Selling Rate,Maintain Stock,Default Unit of Measure,HSN/SAC,Grant Commission,Allow Sales,Allow Purchase,Max Discount (%),Default Price List (Item Defaults),Item Tax Template (Taxes)
PBM-205-3,PBM,"Trismus SMF Management  - Severe trismus, post-radiation fibrosis, requiring extended therapy.","Description:

Indications: Severe trismus, post-radiation fibrosis, requiring extended therapy.
Frequency:   Daily for 4 weeks
Twice a week for 4 weeks
Repeat For:  8 weeks
# Sessions:  32","1200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-206-1S,PBM,Neuropathy Management - Peripheral Neuropathy post Chemotherapy - 1 site,"Description:

Indications: 1 site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-206-2S,PBM,Neuropathy Management - Peripheral Neuropathy post Chemotherapy - 2 site,"Description:

Indications: 2 site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","2400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-206-MS,PBM,Neuropathy Management - Peripheral Neuropathy post Chemotherapy - Mutiple site,"Description:

Indications: Mutiple site
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-1S-1,PBM,Radiation-Induced Dermatitis - 1 Site - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-1S-2,PBM,Radiation-Induced Dermatitis - 1 Site - moderate - few areas of epithelial break,"Description:

Indications: moderate - few areas of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-1S-3,PBM,Radiation-Induced Dermatitis - 1 Site - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Daily
Repeat For:  12 days
# Sessions:  12","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-2S-1,PBM,Radiation-Induced Dermatitis - 2 Sites - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-2S-2,PBM,Radiation-Induced Dermatitis - 2 Sites - moderate - few ares of epithelial break,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-2S-3,PBM,Radiation-Induced Dermatitis - 2 Sites - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Daily
Repeat For:  12 days
# Sessions:  12","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-MS-1,PBM,Radiation-Induced Dermatitis - Multiple Sites - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Daily
Repeat For:  4 days
# Sessions:  4","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-MS-2,PBM,Radiation-Induced Dermatitis - Multiple Sites - moderate - few ares of epithelial break,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Daily
Repeat For:  8 days
# Sessions:  8","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-207-MS-3,PBM,Radiation-Induced Dermatitis - Multiple Sites - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Daily
Repeat For:  12 days
# Sessions:  12","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-1S-1,PBM,Oral Lichen Planus Treatment - 1 Site - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-1S-2,PBM,Oral Lichen Planus Treatment - 1 Site - moderate - few areas of epithelial break,"Description:

Indications: moderate - few areas of epithelial break
Frequency:   Once a week
Repeat For:  8 weeks
# Sessions:  8","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-1S-3,PBM,Oral Lichen Planus Treatment - 1 Site - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Once a week
Repeat For:  12 weeks
# Sessions:  12","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-2S-1,PBM,Oral Lichen Planus Treatment - 2 Sites - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-2S-2,PBM,Oral Lichen Planus Treatment - 2 Sites - moderate - few ares of epithelial break,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Once a week
Repeat For:  8 weeks
# Sessions:  8","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-2S-3,PBM,Oral Lichen Planus Treatment - 2 Sites - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Once a week
Repeat For:  12 weeks
# Sessions:  12","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-MS-1,PBM,Oral Lichen Planus Treatment - Multiple Sites - Mild - no epithelial break,"Description:

Indications: Mild - no epithelial break
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-MS-2,PBM,Oral Lichen Planus Treatment - Multiple Sites - moderate - few ares of epithelial break,"Description:

Indications: moderate - few ares of epithelial break
Frequency:   Once a week
Repeat For:  8 weeks
# Sessions:  8","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-208-MS-3,PBM,Oral Lichen Planus Treatment - Multiple Sites - Severe - with ulceration,"Description:

Indications: Severe - with ulceration
Frequency:   Once a week
Repeat For:  12 weeks
# Sessions:  12","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-209,PBM,Osteoradionecrosis Prevention - Pre and post Radiation,"Description:

Indications: Pre and post Radiation
Frequency:   Daily (includes before and after radiation)
Repeat For:  10 weeks
# Sessions:  10","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-210,PBM,Improved Dental Implant Healing - Laser applied to implant site before and after surgery to aid healing,"Description:

Indications: Laser applied to implant site before and after surgery to aid healing
Frequency:   per implant, once
Repeat For:  None
# Sessions:  1","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-211-1,PBM,Teeth Whitening for Tobacco Users - Mild,"Description:

Indications: Mild
Frequency:   Once
Repeat For:  None
# Sessions:  1","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-211-2,PBM,Teeth Whitening for Tobacco Users - Moderate,"Description:

Indications: Moderate
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-211-3,PBM,Teeth Whitening for Tobacco Users - Severe/Deep stains ,"Description:

Indications: Severe/Deep stains 
Frequency:   Once a week
Repeat For:  3-4 weeks
# Sessions:  3 to 4","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-212-1,PBM,Teeth Scaling for tobacco users - Ultarasonic scaling required before teeth whitening - Grade 1 Mild,"Description:

Indications: Grade 1 Mild
Frequency:   Once
Repeat For:  None
# Sessions:  1","2650",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-212-2,PBM,"Teeth Scaling for tobacco users - Ultarasonic scaling required before teeth whitening - Grade II, moderate","Description:

Indications: Grade II, moderate
Frequency:   Multiple sittings
Repeat For:  None
# Sessions:  1","3780",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-212-3,PBM,"Teeth Scaling for tobacco users - Ultarasonic scaling required before teeth whitening - Grade III, Severe","Description:

Indications: Grade III, Severe
Frequency:   Multiple sittings
Repeat For:  None
# Sessions:  1","5760",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-213,PBM,Oral Full Mouth Polishing - Full mouth,"Description:

Indications: Full mouth
Frequency:   Once
Repeat For:  None
# Sessions:  1","1900",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-U-1,PBM,Photobiomodulation for TMJ Disorders - Mild unilateral,"Description:

Indications: Mild unilateral
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","2400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-U-2,PBM,Photobiomodulation for TMJ Disorders - Moderate unilateral,"Description:

Indications: Moderate unilateral
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","2400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-U-3,PBM,Photobiomodulation for TMJ Disorders - Severe unilateral,"Description:

Indications: Severe unilateral
Frequency:   Once a week
Repeat For:  8-10 weeks
# Sessions:  8 to 10","2400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-B-1,PBM,Photobiomodulation for TMJ Disorders - Mild bilateral,"Description:

Indications: Mild bilateral
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","4200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-B-2,PBM,Photobiomodulation for TMJ Disorders - Moderate bilateral,"Description:

Indications: Moderate bilateral
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","4200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-214-B-3,PBM,Photobiomodulation for TMJ Disorders - Severe bilateral,"Description:

Indications: Severe bilateral
Frequency:   Once a week
Repeat For:  8-10 weeks
# Sessions:  8 to 10","4200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-215-1S,PBM,Photo Desensitisation for Hypersensitivity- Oral Mucosa - Partial Mouth /Regional /One site Oral Mucosa,"Description:

Indications: Partial Mouth /Regional /One site Oral Mucosa
Frequency:   Once
Repeat For:  None
# Sessions:  1","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-215-2S,PBM,Photo Desensitisation for Hypersensitivity- Oral Mucosa - Partial Mouth /Regional /Two site Oral Mucosa,"Description:

Indications: Partial Mouth /Regional /Two site Oral Mucosa
Frequency:   Once
Repeat For:  None
# Sessions:  1","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-215-MS,PBM,Photo Desensitisation for Hypersensitivity- Oral Mucosa - Full Mouth/ Multiple sites Oral Mucosa,"Description:

Indications: Full Mouth/ Multiple sites Oral Mucosa
Frequency:   Once
Repeat For:  None
# Sessions:  1","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-216-1T,PBM,Photo Desensitisation for Hypersensitivity - Tooth - 1 Tooth,"Description:

Indications: 1 Tooth
Frequency:   Once
Repeat For:  None
# Sessions:  1","1800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-216-2T,PBM,Photo Desensitisation for Hypersensitivity - Tooth - 2 Teeth,"Description:

Indications: 2 Teeth
Frequency:   Once
Repeat For:  None
# Sessions:  1","3000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-216-4T,PBM,Photo Desensitisation for Hypersensitivity - Tooth - Upto 4 Teeth,"Description:

Indications: Upto 4 Teeth
Frequency:   Once
Repeat For:  None
# Sessions:  1","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-216-AT,PBM,Photo Desensitisation for Hypersensitivity - Tooth - Additional Tooth,"Description:

Indications: Additional Tooth
Frequency:   Once
Repeat For:  None
# Sessions:  1","1200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-217-TC-1,PBM,TOBACCO CESSATION with PBM - Early-stage addiction,"Description:

Indications: Early-stage addiction
Frequency:   Once a week
Repeat For:  4 weeks
# Sessions:  4","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PBM-217-TC-2,PBM,TOBACCO CESSATION with PBM - Strong nicotine dependency,"Description:

Indications: Strong nicotine dependency
Frequency:   Once a week
Repeat For:  6-8 weeks
# Sessions:  6 to 8","3600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-401,Other,Quit Tobacco Consultation by Doctor,"Description:

Indications: -
Frequency:   Once
Repeat For:  None
# Sessions:  1","1440",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-402,Other,Quit Tobacco Assessment by Quit Coach,"Description:

Indications: -
Frequency:   Once
Repeat For:  None
# Sessions:  1","4800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-403-1,Other,Quit Tobacco - 1 month package - Mild addiction: Less than 10 cigarettes / 2 pouches per day,"Description:

Indications: Mild addiction: Less than 10 cigarettes / 2 pouches per day
Frequency:   Once a week for 4 weeks
Repeat For:  None
# Sessions:  4","7800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-403-2,Other,Quit Tobacco - 2 month package - Moderate addiction: 11-20 cigarettes / 2-5 pouches per day,"Description:

Indications: Moderate addiction: 11-20 cigarettes / 2-5 pouches per day
Frequency:   Once a week for 4 weeks
Once in 2 weeks for 4 weeks
Repeat For:  None
# Sessions:  6","9600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-403-3,Other,Quit Tobacco - 3 Month Package - Severe addiction: Greater than 20 cigarettes / 5 pouches per day,"Description:

Indications: Severe addiction: Greater than 20 cigarettes / 5 pouches per day
Frequency:   Once a week for 4 weeks
Once in 2 weeks for 8 weeks
Repeat For:  None
# Sessions:  8","14400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
TC-404,Other,Self Quit book - Self Quit book,"Description:

Indications: Self Quit book
Frequency:   per book
Repeat For:  None
# Sessions:  1",₹400,0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-301-1,PDT,"Photodynamic Therapy for Early-Stage Oral Cancer IPD - Small lesions, early diagnosis, minimal photosensitizer use. <4mm Depth 1 cm size","Description:

Indications: Small lesions, early diagnosis, minimal photosensitizer use. <4mm Depth 1 cm size
Frequency:   Once
Repeat For:  None
# Sessions:  1","30000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-301-2,PDT,"Photodynamic Therapy for Early-Stage Oral Cancer IPD - Larger lesions, deeper invasion, higher photosensitizer dose.","Description:

Indications: Larger lesions, deeper invasion, higher photosensitizer dose.
Frequency:   Once
Repeat For:  None
# Sessions:  1","54000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-302-1,PDT,"Recurrent Cancers IPD - Small lesions, early diagnosis, minimal photosensitizer use. <4mm Depth 1 cm size","Description:

Indications: Small lesions, early diagnosis, minimal photosensitizer use. <4mm Depth 1 cm size
Frequency:   Once
Repeat For:  None
# Sessions:  1","30000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-302-2,PDT,"Recurrent Cancers IPD - Larger lesions, deeper invasion, higher photosensitizer dose.","Description:

Indications: Larger lesions, deeper invasion, higher photosensitizer dose.
Frequency:   Once
Repeat For:  None
# Sessions:  1","54000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-303-1,PDT,"PDT for Oral Leukoplakia - Small, localized leukoplakia patch. <1 cm","Description:

Indications: Small, localized leukoplakia patch. <1 cm
Frequency:   Once
Repeat For:  None
# Sessions:  1","12000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-303-2,PDT,"PDT for Oral Leukoplakia - Moderate localized leukoplakia 1-2 cm, 2-3 sites","Description:

Indications: Moderate localized leukoplakia 1-2 cm, 2-3 sites
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","18000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-303-3,PDT,PDT for Oral Leukoplakia - Extensive leukoplakia covering multiple sites,"Description:

Indications: Extensive leukoplakia covering multiple sites
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","30000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-304-1S,PDT,"PDT for Oral Erythroplakia - Small, localized Erythroleukoplakia patch. <1 cm","Description:

Indications: Small, localized Erythroleukoplakia patch. <1 cm
Frequency:   Once
Repeat For:  None
# Sessions:  1","14400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-304-2S,PDT,"PDT for Oral Erythroplakia - Moderate localized Erythro-leukoplakia 1-2 cm, 2 sites","Description:

Indications: Moderate localized Erythro-leukoplakia 1-2 cm, 2 sites
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","21600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-304-MS,PDT,PDT for Oral Erythroplakia - Extensive Erythro-leukoplakia covering multiple sites,"Description:

Indications: Extensive Erythro-leukoplakia covering multiple sites
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","33600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-1S-1,PDT,"PDT for Dysplasia, Early-stage lesion - Mild < 1 cm, 1 site","Description:

Indications: Mild < 1 cm, 1 site
Frequency:   Once
Repeat For:  None
# Sessions:  1","9600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-2S-1,PDT,"PDT for Dysplasia, Early-stage lesion - Mild < 1 cm, 2-3 site","Description:

Indications: Mild < 1 cm, 2-3 site
Frequency:   Once
Repeat For:  None
# Sessions:  1","16800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-MS-1,PDT,"PDT for Dysplasia, Early-stage lesion - Mild < 1 cm, multiple sites","Description:

Indications: Mild < 1 cm, multiple sites
Frequency:   Once
Repeat For:  None
# Sessions:  1","24000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-1S-2,PDT,"PDT for Dysplasia, Early-stage lesion - Moderate 1-2 cm, one site","Description:

Indications: Moderate 1-2 cm, one site
Frequency:   Once
Repeat For:  None
# Sessions:  1","12000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-2S-2,PDT,"PDT for Dysplasia, Early-stage lesion - Moderate 1-2 cm, two site","Description:

Indications: Moderate 1-2 cm, two site
Frequency:   Once
Repeat For:  None
# Sessions:  1","19200",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-305-MS-2,PDT,"PDT for Dysplasia, Early-stage lesion - Moderate 1-2 cm, multiple sites","Description:

Indications: Moderate 1-2 cm, multiple sites
Frequency:   Once
Repeat For:  None
# Sessions:  1","26400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-306,PDT,"PDT for Severe Dysplasia, high-grade premalignant lesion - Single or multiple","Description:

Indications: Single or multiple
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","30000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-307-1S,PDT,"PDT for Oral Lichen Planus - Few oral lesions, single-site application.","Description:

Indications: Few oral lesions, single-site application.
Frequency:   Once
Repeat For:  None
# Sessions:  1","9600",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-307-2S,PDT,PDT for Oral Lichen Planus - Bilateral oral lesion 2-3 sites,"Description:

Indications: Bilateral oral lesion 2-3 sites
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","16800",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-307-MS,PDT,"PDT for Oral Lichen Planus - Severe case, multi-site involvement, repeated sessions.","Description:

Indications: Severe case, multi-site involvement, repeated sessions.
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","24000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-308-1S,PDT,"PDT for Verrucous Carcinoma - Few oral lesions, single-site application.","Description:

Indications: Few oral lesions, single-site application.
Frequency:   Once
Repeat For:  None
# Sessions:  1","14400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-308-2S,PDT,PDT for Verrucous Carcinoma - Bilateral oral lesion 2 -3 sites,"Description:

Indications: Bilateral oral lesion 2 -3 sites
Frequency:   Once a week
Repeat For:  2 weeks
# Sessions:  2","24000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-308-MS,PDT,"PDT for Verrucous Carcinoma - Severe case, multi-site involvement, repeated sessions.","Description:

Indications: Severe case, multi-site involvement, repeated sessions.
Frequency:   Once a week
Repeat For:  2-4 weeks
# Sessions:  2 to 4","36000",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-309-1,PDT,PDT for Field Cancerization - Multifocal dysplasia or carcinoma in situ,"Description:

Indications: Multifocal dysplasia or carcinoma in situ
Frequency:   Once
Repeat For:  None
# Sessions:  1","14400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
PDT-309-1S-2,PDT,"PDT for Field Cancerization - Few oral lesions, single-site application.","Description:

Indications: Few oral lesions, single-site application.
Frequency:   Once
Repeat For:  None
# Sessions:  1","14400",0,Visit,999312,1,1,0,30,Standard Selling,Nil-Rated - ICCARP
